Machine Number*,Machine Name*,Department Name*,Machine Capacity,Asset Code*,Group*,Location*,Relocated Date,Purchased Date,Machine Make,Machine Remarks,Machine Cost,Image Name,Critical,Day Working Hour,Vendor,AMC Vendor,Renewal Date,From Date,To Date,Frequency,Frequency Date
30961,CNC PUNCHING AND SHEARING M/C,Fabrication,A164T,59995084,CNC,Kanchipuram,,40129,FICEP,,,,,,,,,,,,
101430,"CNC MACHINE -PUNCH,SHEAR, MARK",Fabrication,VPX-164,599a0291,CNC,Kanchipuram,,41929,VERNET BEHRINGER,,,,,,,,,,,,
101519,"CNC MACHINE - PUNCHING , SHEARING & NUMBERING",Fabrication,VP-X 164,599A3304,CNC,Kanchipuram,,42460,VERNET BEHRINGER,,,,,,,,,,,,
101545,"CNC MACHINE - ANGLE PUNCHING , SHEARING & MARKING",Fabrication,VP-X 164,599A3681,CNC,Kanchipuram,,42824,VERNET BEHRINGER,,,,,,,,,,,,
90,CNC MACHINE - PLATE PUNCHING & DRILLING,Fabrication,PPD103D,599A3630,CNC,Kanchipuram,,42821,TIANCHEN,,,,,,,,,,,,
94,CNC MACHINE - PLATE PUNCHING & DRILLING,Fabrication,PPD103D,599A3738,CNC,Kanchipuram,,42951,TIANCHEN,,,,,,,,,,,,
1090,5T DOUBLE GIRDER EOT CRANE F1,Fabrication,ZX064,59997206,EOT Cranes,Kanchipuram,,41204,K2 CRANES,,,,,,,,,,,,
6552,EOT CRANE 5 TON @ 18.15 MTR SPAN F2,,DOUBLE GIRDER - 5 T - SPAN 18.15 MTR,6550770,EOT Cranes,Kanchipuram,,43145,ELECTROMECH,,,,,,,,,,,,
1093,"5T DOUBLE GIRDER EOT CRANE, MA",Fabrication,ZX064,59997230,EOT Cranes,Kanchipuram,,41204,K2 CRANES,,,,,,,,,,,,
6551,EOT CRANE 5 TON @ 18.15 MTR SPAN F4,Fabrication,DOUBLE GIRDER - 5 T - SPAN 18.15 MTR,6550762,EOT Cranes,Kanchipuram,,43145,ELECTROMECH,,,,,,,,,,,,
1092,5T DOUBLE GIRDER EOT CRANE F3,Fabrication,ZX064,59997222,EOT Cranes,Kanchipuram,,41193,K2 CRANES,,,,,,,,,,,,
1091,"5T DOUBLE GIRDER EOT CRANE, MA",Fabrication,ZX064,59997214,EOT Cranes,Kanchipuram,,41204,K2 CRANES,,,,,,,,,,,,
6003,EOT CRANE 5 TON @ 18.15 MTR SPAN,Galvanizing,DOUBLE GIRDER - 5 T - SPAN 18.15 MTR,6550665,EOT Cranes,Kanchipuram,,42824,ELECTROMECH,,,,,,,,,,,,
